# Torres Amat 1823 — dominio público (texto íntegro del Antiguo Testamento). Traducción de la Vulgata latina al español por
# don Félix Torres Amat (1772-1847), publicada entre 1823 y 1825.
# Source : module SWORD TorresAmat du projet OmarGonD/biblia-elim (reconstruction OCR de l'édition de 1882 conservée à Internet Archive,
# GPL-2.0-or-later ; le texte de Torres Amat lui-même est dominio público). Le module couvre 94 % des versets ; le
# texte contient des erratas résiduelles d'OCR et n'est pas révisé (versets perdus laissés en creux).
# Versification convertie Vulgate -> massorétique (BHSA, numérotation BHS : Deut 29:1, Isa 8:23, Joël 4 ch., Malachie
# 3 ch., etc.) : Psaumes Vulgate renumérotés (fusions 9/10,
# 113/114/115, 146/147 ; titres de psaumes conservés comme verset 1,
# convention BHSA), additions deutérocanoniques exclues (Daniel
# 3:24-90, 13-14 ; Esther Vulgate 10:4-13, 11-16), défauts OCR du
# module exclus (doublon 1 Rois 4, index des prophètes collé en
# Osée 1, Jérémie 1 perdu — copie numérotée de 2:1-7 mappée en
# Jérémie 2, secondes moitiés de versets). Calibré verset par
# verset contre la base BHSA ; voir scripts/extract_torres_amat.py.
# Format : nom_BHSA	chapitre	verset	texte_espagnol
Amos	3	3	¿Pueden acaso dos caminar juntos, si no van acordes entre sí? tn Ty. Reg. ELL, v. 27
Amos	3	4	¿Por ventura rugirá el leon en el bosque, si no ve la presa? ¿Acaso el jóven leon alzará su rugido dentro de su cueva, sin que haya apresado algo?
Amos	3	5	¡Caerá por ventura el pájaro en el lazo tendido sobre la tierra, si no hay quien le arme? ¿Y el lazo le quitarán acaso dlel suelo, antes de haber cogido algo?
Amos	3	6	¿Sonará la trompeta de guerra en una ciudad, sin que la poblacion se conmueya? ¿Descargará alguna calamidad sobre la ciudad, que no sea por disposicion del Señor?
Amos	3	7	Mas el Señor Dios no hace estas cosas sin revelar sus secretos á los profetas SIervos suyos
Amos	3	8	Ruge el leon de Judá: ¡quién no temerá? El Señor Dios ha hablado: ¿quién se retraerá de profetizar?
Amos	3	9	Hacedlo saber á las familias de los Philistheos de Azoto, y á las del país de Egypto, y decid: Reuníos sobre los montes de Samaria, y observad los muchos desórdenes que reinan en ella, y las violencias que se cometen en su interior
Amos	3	10	No han sabido lo que es hacer justicia, dice el Señor: han amontonado en sus casas tesoros de iniquidad y de rapiña
Amos	3	11	Por tanto, esto dice el Señor Dios: Atribulada será la LJ tierra esta por todas partes; y se te quitará, oh. Samaria, toda tu fuerza, y saqueadas serán tus casas
Amos	3	12	Esto dice el Señor: Como si un pastor salvase de la boca del leon solamente las dos patas y la ternilla de una oreja de la res que devora, así se librarán de los Assyrios aquellos hijos de Israél que habitan en Samaria descansando en un ángulo de cama, ó en el lecho de Damasco
Amos	3	13	Oid y protestad estas cosas á la casa de Jacob, dice el Señor Dios de los ejércitos
Amos	3	14	Decidle, que llegado que sea el dia del castigo de las prevaricaciones de Israél, le castigaré tambien á él, y destruivé los altares de Bethel, y serán cortados y echados por tierra los ángulos del altar
Amos	3	15	Y arrasarélas habitaciones d palacios de invierno junto con las de verano, y quedarán arruinadas las habitaciones de marfil, y serán en eran número los edificios derribados, dice el Señor
Amos	4	2	Juró el Señor Dios por su santo Nombre, que van á venir dias para vosotros en que os ensartarán en picas, y pondrán á hervir en ollas los restos de vuestro cuerpo
Amos	4	3	Y saldreis por las brechas abiertas por una y otra parte, y sereis arrojados á Armon, dice el Señor
Amos	4	4	Td en hora buena á Bethel á continuar vuestras impiedades, Gálgala á aumentar las prevaricaciones, y llevaos allí por la mañana vuestras víctimas para los taolos, y vuestros diezmos en los tres dias solemnes
Amos	4	5	Y ofreced ú los ídolos el sacrificio de alabanza, con pan + fermentado, y pregonad y haced saber las ofrendas voluntarias; pues que así os place á vosotros, oh hijos de Israél, dice el Señor Dios
Amos	4	6	Por cuyo motivo he hecho yo que esteis con los dientes afilados en todas vuestras ciudades, por falta de pan en todo vuestro país; y con todo vosotros no os habeis convertido á mí, dice el Señor
Amos	4	7	Asimismo yo impedí que os viniese lluvia, cuando aun faltaban tres meses hasta la cosecha, é hice que lloviese en una ciudad, y que no lloviese en otra: á un paraje le dí lluvia, y otro se secó por no habérsela dado
Amos	4	8	Y acudieron dos, tres y mas ciudades y otra ciudad á buscar agua para beber, y no pudieron saciarse; y no por eso os convertisteis á mí, dice el Señor
Amos	4	9	Yo os afligí con viento abrasador, y con añublo: la oruga devoró la multitud de vuestras huertas, y de vuestras viñas, y de vuestros olivares, y de vuestros higuerales; y ú pesar de eso no os convertisteis á mí, dice el Señor
Amos	4	10	Envié la mortandad contra vosotros en la jornada de Egypto: á vuestra juventud la hice morir al filo de la espada, y fueron cogidos hasta vuestros mismos caballos: el fetor Y de los cadáveres de vuestro campamento le hice llegar á vuestras narices, y no por eso os convertisteis á mí, dice el Señor
Amos	4	11	Yo 0s arrasé, como arrasó Dios á Sodoma y á Gomorrha y quedasteis como un tizon que se arrebata de en medio de un incendio, y con todo no os convertisteis á mí, dice el Señor
Amos	4	12	Estas cosas ejecutaré yo contra tí, oh Israél: mas despues que así me habré portado contigo, prepárate, oh Israél, para salir al encuentro á tu Dios
Amos	4	13	Pues hé aquí que viene aquel que forma los montes y eria los vientos, el cual anuncia á los hombres su Palabra ó Verbo eterno $, aquel que produce la niebla de la mañana, y el que pisa con sus piés las alturas de la tierra, aquel que tiene por nombre Señor Dios de los ejércitos
Amos	5	1	Escuchad estas palabras con que voy á formar una lamentacion 1 sobre vosotros: la casa de Israél cayó, y no volverá mas á levantarse
Amos	5	2	La yíreen (el florido reino ) de Israél ha sido arrojada por tierra, y no hay quien la levante
Amos	5	3	Porque esto dice el Señor Dios: La ciudad de /sraél de la cual salian mil hombres, quedará reducida á ciento, y aquella de la cual salian ciento quedará reducida á diez: esto sucederá en la familia de Israél
Amos	5	4	Pero el Señor dice á la casa de Israél: Buscadme y vivireis
Amos	5	5	Y no os euidels de Bethel, ni vayais á Gáleala, ni pasels por Bersabée: porque Gálgala será llevada al cautiverio, y Bethel quedará vacía
Amos	5	6	Buscad al Señor, y tendreis vida: no sea que por desgracia arda como el fuego la casa de Joseph Y Ephraim, y devore á Bethel sin que haya quien le apague
Amos	5	7	Oh vosotros, que convertís el juicio en amargura de ajenjo, y echais á rodar la justicia
Amos	5	8	Buscad al que crió el Areturo y el Orion, al que cambia las tinieblas en la luz de la mañana, y muda el dia en noche; al que llama las aguas del mar hácia lo alto, y las derrama despues sobre la tierra, y cuyo nombre es: El Señor
Amos	5	9	A aquel que como por juguete derriba al suelo los valientes, y hace que sean entregados al saqueo los poderosos
Amos	5	10	Aborrecieron los de la. casa de Israél al que los amonestaba en los concursos públicos, y han abominado del que les hablaba en mi nombre la verdad
Amos	5	11	Por tanto, ya que vosotros despojabais al pobre, le quitabais lo mejor que tenia, edificareis casas de piedra de sillería, mas no las habitareis %; y plantarels viñas excelentes, pero no llegarels á beber su vino
Amos	5	12	Porque tengo sabidas vuestras muchas maldades, y vuestros escandalosos delitos: enemigos sois de la justicia, codiciosos de recibir dones, opresores de los pobres en los tribunales
Amos	5	13	Por cuyo motivo el prudente callará en aquel tiempo, NS) porque es tiempo aciago
Amos	5	14	Buscad el bien y no el mal, á fin de que tengais vida: y así estará con vosotros el Señor Dios de los ejércitos, como decís que está
Amos	5	15	Aborreced el mal, y amad el bien, y restableced la justicia en el foro; y el Señor Dios de los ejércitos tendrá tal vez misericordia de los restos del linaje de Joseph
Amos	5	16	Por tanto, esto dice el Señor Dios de los ejércitos, el /— Dominador del mundo: En todas las plazas habrá lamentos, há y en todos los lugares de fuera de la cóudad se olrán ayes; y z AN serán convidados los labradores á llorar, y á hacer el duelo z As los que saben plañir Y
Amos	5	17	Y en todas las viñas se oirán lamentos, porque yo 4) pasaré por medio de vosotros, dice el Señor. re ES
Amos	5	18	¡Ay de aquellos que por mofa desean el dia del Señor! ¡Por qué le deseais? Dia de tinieblas será aquel para vosotros, y no de luz
Amos	5	19	Os sucederá lo que á un hombre que huyendo de la vista de un leon diere con un oso; ó entrando en su casa, al apoyarse con su mano en la pared, fuese mordido de una culebra
Amos	5	20	¿Por ventura aquel dia del Señor no será dia de tinie2 blas, y no de luz; y no reinará en él una suma oscuridad, sin rastro de resplandor?
Amos	5	21	Yo aborrezco y desecho vuestras festividades, ni me es agradable el olor de los sacrificios en vuestras reuniones
Amos	5	22	Y cuando vosotros me presentareis vuestros holo[ caustos y dones, yo no los aceptaré: ni volveré mi vista hácia las gordas víctimas que me ofrecerels en voto
Amos	5	23	Lejos de mí vuestros tumultuosos ó estrepitosos himnOs; yo no escucharé las canciones al son de vuestra lira
Amos	5	24	Sino que la venganza mi4 se derramará como agua, la justicia cual torrente impetuoso
Amos	5	25	¿Por ventura, oh casa de Israél, me ofrecistels vosotros, durante los cuarenta años en el Desierto, gran multitard. de hostias mi sacrificios 2?
Amos	5	26	Vosotros empero llevabais el tabernáculo de vuestro dios Moloch, y los simulacros de vuestros ídolos, la estrella de vuestro dios Saturno, hechuras de vuestras manos
Amos	5	27	Yo haré pues que seais trasportados mas allá de Damasco á la Assyria dice el Señor, el Señor cuyo nombre es: Dios de los ejércitos
Amos	6	1	¡Ay de vosotros los que nadais en la abundancia en medio de Sion, y los que vivís sin ningun recelo en el monte de Samaria; de vosotros, oh magnates principales de los pueblos, que entrais con fausto en las juntas de Israél!
Amos	6	2	Pasad á la ciudad de Chalane, y considerad, y desde allí id á Emath la grande, y bajad á Geth de los Palestinos, y á los mejores reinos á provincias dependientes de estos. ¡Tienen ellos mas espacioso terreno que vosotros?
Amos	6	3	Empero vosotros estais reservados para el dia calamitoso, y os vais acercando al solio 0 imperio de la iniquidad
Amos	6	4	Vosotros los que dormís en camas de marfil, y os solazais en vuestros mullidos lechos: los que comeéis los mejores corderos de la grey, y los mas escogidos becerros de la vacada
Amos	6	5	Los que cantais al son del salterio: y creeis imitará David usando instrumentos músicos para vuestro deleite
Amos	6	6	Los que bebeis vino en unchas copas, despidiendo preciosos olores, sin compadeceros de la afliecion de Joseph
Amos	6	7	Por lo mismo irán estos los primeros á la cautividad, y será dispersada la gavilla de los lascivos
Amos	6	8	El Señor Dios ha jurado por su vida; ha dicho el Señor Dios de los ejércitos: Yo detesto la soberbia de Jacob, y aborrezco sus palacios, y entregaré al dominio de otros la ciudad Y con sus habitantes
Amos	6	9	Que si diez hombres quedaren refugiados en una casa, perecerán ellos tambien 7
Amos	6	10	Y algun pariente suyo los tomará uno despues de otro, los quemará, y sacará los huesos fuera de la casa pura enterrarlos, y dirá despues al que está en el fondo de la casa: ¡Tienos todavía aquí dentro algun otro cadáver?
Amos	6	11	Porque hé aquí que el Señor lo ha decretado, y él castigará la casa grande con la total ruina, y la casa menor 1 con grandes calamidades
Amos	6	12	¿Acaso pueden correr los caballos entre peñasl, ó se puede arar con indómitos búfalos? Vosotros habeis trocado en opresion el justo juicio, y en ajenjo el fruto de la Justicia
Amos	6	13	Vosotros fundais sobre la nada vuestra alegría, y decís: Pues qué ¿no nos ha hecho poderosos nuestra fortaleza?
Amos	6	14	Mas hé aquí, oh casa de Israél, que yo levantaré contra vosotros una nacion, dice el Señor Dios de los ejércitos, lá cual acabará con vosotros desde la entrada de Emath hasta el torrente del Desierto
Amos	7	1	Estas son las visiones que me ha enviado el Señor Dios: Hé aquí que criaba el Señor un ejército de langostas al principio cuando la lluvia tardía hace crecer la yerba, y esta es la lluvia tardía que la hace brotar despues de haber sido segada para el rey
Amos	7	2	Y sucedió que al haber acabado la langosta de comerse esta yerba de los campos, dije yo: Ruégote, Señor Dios, que tengas misericordia: ¿quién restaurará á Jacob tan extenuado como está?
Amos	7	3	Apiadóse con esto el Señor, y dijo: No sucederá lo que temes
Amos	7	4	Hízome el Señor A Dios / yer aun lo siguiente: Veia al Señor Dios que llamaba al fuego para que fuese instrumento de su justicia, el cual secó un grande abismo, ó copia de aguas, y consumía al mismo tiempo una parte del pueblo
Amos	7	5	Y dije yo: Ruégote, Señor Dios, que te aplaques: ¿Quién restaurará á Jacob, que está tan extenuado?
Amos	7	6	Apiadóse con esto el Señor Dios, y dijo: Ni tampoco será esta vez su TuUMAa
Amos	7	7	Envióme el Señor esta tercera vision: Veia al Señor que estaba sobre un muro embarrado, y que tenia en su mano una lana dle albañil
Amos	7	8	Y díjome el Señor: ¿Qué es lo que ves, Amós? Y respondí yo: Una llana de albanil, Pues hé aquí, dijo el Señor, que yo voy á arrojar la llana en medio de mi pueblo de Israél; ni jamás volveré á embarrar sus muros
Amos	7	9	Serán demolidos los lugares excelsos del ídolo, y arrasados los santuarios de Israél, y echaré mano de la espada contra la casa de Jeroboam
Amos	7	10	Con esto Amasias, sacerdote de los ídolos de Bethel, envió á decir á Jeroboan, rey de Israél, lo siguiente: Amós levanta una rebelion contra tí en medio del pueblo de Israél: la gente no puede sufrir todas las cosas que dice
Amos	7	11	Porque de esta manera habla Amós: Jeroboam morirá al filo de la espada; é Israél será llevado cautivo fuera de su país Y
Amos	7	12	Ñ "Y Amasias 01j0 4 Amós: E Oh tú que tienes visiones 1, vete, huye al país de Judá, y come allí tu pan, y allí podrás profetizar
Amos	7	13	Mas no vuelvas á, profetizar en Bethel; porque este es el santuario del rey, y la corte del reino
